type	latitude	longitude	name	
T	32.746313000	-117.124979000		
T	32.746333000	-117.124978000		
T	32.746355000	-117.124978000		
T	32.746377000	-117.124978000		
T	32.746401000	-117.124979000		
T	32.746425000	-117.124981000		
T	32.746450000	-117.124985000		
T	32.746476000	-117.124986000		
T	32.746501000	-117.124984000		
T	32.746525000	-117.124984000		
T	32.746552000	-117.124983000		
T	32.746581000	-117.124984000		
T	32.746609000	-117.124985000		
T	32.746638000	-117.124985000		
T	32.746665000	-117.124982000		
T	32.746693000	-117.124979000		
T	32.746721000	-117.124979000		
T	32.746748000	-117.124983000		
T	32.746771000	-117.124990000		
T	32.746791000	-117.124989000		
T	32.746811000	-117.124986000		
T	32.746832000	-117.124983000		
T	32.746854000	-117.124983000		
T	32.746878000	-117.124984000		
T	32.746903000	-117.124984000		
T	32.746928000	-117.124982000		
T	32.746952000	-117.124976000		
T	32.746973000	-117.124964000		
T	32.746990000	-117.124955000		
T	32.747012000	-117.124951000		
T	32.747034000	-117.124951000		
T	32.747056000	-117.124954000		
T	32.747078000	-117.124958000		
T	32.747102000	-117.124960000		
T	32.747128000	-117.124960000		
T	32.747156000	-117.124960000		
T	32.747185000	-117.124959000		
T	32.747209000	-117.124955000		
T	32.747229000	-117.124952000		
T	32.747249000	-117.124952000		
T	32.747271000	-117.124953000		
T	32.747296000	-117.124953000		
T	32.747324000	-117.124954000		
T	32.747353000	-117.124955000		
T	32.747380000	-117.124957000		
T	32.747407000	-117.124958000		
T	32.747433000	-117.124961000		
T	32.747455000	-117.124960000		
T	32.747475000	-117.124954000		
T	32.747495000	-117.124948000		
T	32.747514000	-117.124953000		
T	32.747537000	-117.124960000		
T	32.747560000	-117.124961000		
T	32.747580000	-117.124958000		
T	32.747608000	-117.124969000		
T	32.747628000	-117.124974000		
T	32.747649000	-117.124974000		
T	32.747662000	-117.124964000		
T	32.747674000	-117.124952000		
T	32.747694000	-117.124948000		
T	32.747724000	-117.124946000		
T	32.747743000	-117.124942000		
T	32.747764000	-117.124938000		
T	32.747786000	-117.124935000		
T	32.747808000	-117.124932000		
T	32.747828000	-117.124929000		
T	32.747846000	-117.124926000		
T	32.747861000	-117.124922000		
T	32.747896000	-117.124917000		
T	32.747923000	-117.124923000		
T	32.747949000	-117.124930000		
T	32.747975000	-117.124938000		
T	32.748004000	-117.124944000		
T	32.748035000	-117.124945000		
T	32.748066000	-117.124943000		
T	32.748095000	-117.124939000		
T	32.748106000	-117.124935000		
T	32.748126000	-117.124924000		
T	32.748140000	-117.124912000		
T	32.748152000	-117.124922000		
T	32.748180000	-117.124928000		
T	32.748197000	-117.124932000		
T	32.748221000	-117.124940000		
T	32.748252000	-117.124946000		
T	32.748283000	-117.124953000		
T	32.748311000	-117.124963000		
T	32.748334000	-117.124983000		
T	32.748353000	-117.125019000		
T	32.748363000	-117.125062000		
T	32.748370000	-117.125107000		
T	32.748374000	-117.125149000		
T	32.748377000	-117.125175000		
T	32.748394000	-117.125186000		
T	32.748409000	-117.125198000		
